"","par","sd(par)","par","sd(par)","par","sd(par)","par","sd(par)"
"logFpar_0","7.83662989746999","0.0748449375091993","7.94807338044133","0.108925246120981","7.73138488610636","0.0668012449859325","8.00294918745412","0.0875384514380263"
"logSdLogFsta_0","-1.14448672591439","0.132512649430527","-1.27391954749513","0.125726230456085","-1.05151296751721","0.125321054010998","-1.28876640589175","0.0990049996077242"
"logSdLogN_0","-0.298074448461348","0.158372250363425","-0.32825365332629","0.162088750023703","-0.38187330609464","0.135787378745832","-0.362642228328269","0.150568895504419"
"logSdLogN_1","-0.914031318222436","0.114155880338561","-0.903558182824943","0.119667908112","-0.899961122508766","0.0855625702633408","-0.826083275835873","0.115626273927228"
"logSdLogObs_0","0.765399173339164","0.104518076011719","0.829034744243645","0.0977376179826247","0.78440017196559","0.091802240736619","0.777329322860011","0.108214246400476"
"logSdLogObs_1","-0.0838943784328929","0.098457542818224","-0.0576377291121738","0.0981955597009972","-0.0542932692631958","0.0958631682180918","-0.0961600898938568","0.101265843515249"
"logSdLogObs_2","-0.498456241043025","0.0769939879065662","-0.514648202317295","0.0813571392043224","-0.498560485848494","0.0695750547746131","-0.542848882400016","0.0931015267739044"
"logSdLogObs_3","-0.363060965723164","0.0718444817112139","-0.352742780365631","0.114730588056226","-0.44238928333842","0.0665818515215367","-0.344145831087012","0.0948643937857545"
"rec_loga_0","1.23289791551582","0.395535624133996","1.32470891802672","0.649297417262317","1.36930393647808","0.328643542253781","1.16145619425484","0.395798166721213"
"rec_logb_0","-10.7974753228584","0.491114741632696","-10.1125271348055","0.735841675983369","-10.7400640458512","0.335050437553218","-10.7702380588334","0.418259676891907"
"logitSel_0","-3.11188469974241","0.327132256361968","-2.80346299265243","0.337331757721525","-3.09595308052462","0.323859327856646","-3.10403991843426","0.348650863871522"
"logitSel_1","-1.12213867494018","0.185975236119784","-0.827083109231313","0.165155615795667","-0.928357522216843","0.12004612093198","-1.18116299841651","0.192766884731514"
"logitSel_2","0.0442734746352357","0.178613575564339","0.281990932098045","0.143491024199392","0.236680013068613","0.158184960751757","-0.051286782990258","0.189153268435417"
"logitSel_3","0.774471803486968","0.218552923693934","0.978699009942355","0.275923271591133","0.796197380749872","0.227354716126299","0.736787939413812","0.199213805214774"
"AIC","1529","","1543","","1534","","1523",""
