"","OM","MP","1_y3","1_y5","1_y10","2_y3","2_y5","2_y10","3_y3","3_y5","3_y10"
"62","OMstress1",7,"65%","85%","95%","37%","32%","35%","5.8 kt","5.8 kt","6.4 kt"
"63","OMstress1",8,"57%","77%","90%","43%","36%","38%","7.7 kt","7.6 kt","8.1 kt"
"64","OMstress1",9,"50%","68%","85%","48%","41%","40%","9.6 kt","9.5 kt","9.8 kt"
"65","OMstress1",10,"44%","61%","77%","52%","44%","43%","11.4 kt","11.3 kt","11.5 kt"
"66","OMstress1",11,"39%","55%","70%","55%","47%","45%","13.2 kt","13.1 kt","13.3 kt"
"67","OMstress2",1,"69%","82%","94%","25%","25%","28%","0 kt","0 kt","0 kt"
"68","OMstress2",2,"46%","55%","69%","44%","42%","44%","3.5 kt","3.3 kt","3.1 kt"
"69","OMstress2",3,"17%","14%","12%","75%","74%","75%","10.2 kt","7.5 kt","3.8 kt"
"70","OMstress2",4,"46%","54%","66%","44%","43%","46%","3.7 kt","3.5 kt","3.5 kt"
"71","OMstress2",5,"45%","50%","56%","45%","45%","49%","3.7 kt","3.6 kt","3.5 kt"
"72","OMstress2",6,"36%","39%","43%","55%","54%","56%","6 kt","5.5 kt","5.1 kt"
"73","OMstress2",7,"38%","43%","48%","54%","54%","57%","5.6 kt","5.4 kt","5.3 kt"
"74","OMstress2",8,"31%","32%","33%","62%","62%","65%","7.5 kt","7.2 kt","6.9 kt"
"75","OMstress2",9,"25%","25%","23%","68%","68%","70%","9.2 kt","8.9 kt","6.7 kt"
"76","OMstress2",10,"21%","18%","15%","72%","71%","74%","10.7 kt","8.7 kt","4.6 kt"
"77","OMstress2",11,"17%","14%","10%","75%","74%","76%","10.1 kt","7.4 kt","3.8 kt"
"78","OMstress3",1,"68%","82%","94%","25%","25%","28%","0 kt","0 kt","0 kt"
"79","OMstress3",2,"51%","61%","77%","39%","38%","39%","3.5 kt","3.2 kt","3.1 kt"
"80","OMstress3",3,"16%","13%","10%","77%","75%","77%","9.4 kt","6.2 kt","2.4 kt"
"81","OMstress3",4,"50%","60%","73%","39%","39%","42%","3.6 kt","3.5 kt","3.5 kt"
"82","OMstress3",5,"49%","55%","62%","41%","41%","46%","3.7 kt","3.5 kt","3.5 kt"
"83","OMstress3",6,"37%","41%","46%","52%","51%","53%","6 kt","5.5 kt","5.2 kt"
"84","OMstress3",7,"40%","45%","50%","52%","52%","55%","5.6 kt","5.4 kt","5.3 kt"
"85","OMstress3",8,"31%","33%","32%","62%","62%","65%","7.5 kt","7.3 kt","6.9 kt"
"86","OMstress3",9,"25%","23%","20%","69%","69%","71%","9.3 kt","8.9 kt","6 kt"
"87","OMstress3",10,"19%","16%","13%","74%","73%","75%","10.7 kt","8 kt","3.4 kt"
"88","OMstress3",11,"15%","12%","8%","77%","76%","77%","9.3 kt","6.1 kt","2.2 kt"
